osmid,name,admin_level,boundary,type
R2750598,Blaenau Gwent,6,administrative,boundary
R99774,Bridgend,6,administrative,boundary
R2750677,Caerphilly,6,administrative,boundary
R1625787,Cardiff,6,administrative,boundary
R77904,Ceredigion,6,administrative,boundary
R153488,Cheshire West and Chester,6,administrative,boundary
R57539,City of Bristol,6,administrative,boundary
R297287,Conwy,6,administrative,boundary
R192442,Denbighshire,6,administrative,boundary
R198566,Flintshire,6,administrative,boundary
R85103,Gloucestershire,6,administrative,boundary
R297286,Gwynedd,6,administrative,boundary
R10187,Herefordshire,6,administrative,boundary
R2750939,Merthyr Tydfil,6,administrative,boundary
R358021,Monmouthshire,6,administrative,boundary
R89846,Neath Port Talbot,6,administrative,boundary
R335184,Newport,6,administrative,boundary
R57535,Pembrokeshire,6,administrative,boundary
R134324,Powys,6,administrative,boundary
R2751428,Rhondda Cynon Taf,6,administrative,boundary
R167060,Shropshire,6,administrative,boundary
R57534,Sir Gaerfyrddin / Carmarthenshire,6,administrative,boundary
R82631,South Gloucestershire,6,administrative,boundary
R87944,Swansea,6,administrative,boundary
R2750460,Torfaen,6,administrative,boundary
R103776,Vale of Glamorgan,6,administrative,boundary
R137981,Wrexham,6,administrative,boundary
R298793,Ynys Môn / Isle of Anglesey,6,administrative,boundary
