name,country,osmid
Somerset,England,R3125930
Bedfordshire,England,R88082
Berkshire,England,R88070
Bristol,England,R5746665
Buckinghamshire,England,R87460
Cambridgeshire,England,R87521
Cheshire,England,R57512
Cornwall,England,R57537
County Durham,England,R156050
Cumbria,England,R88065
Derbyshire,England,R88077
Devon,England,R57538
Dorset,England,R2698375
East Riding of Yorkshire,England,R3125734
East Sussex,England,R2126747
Essex,England,R62162
Gloucestershire,England,R2700308
Greater London,England,R175342
Greater Manchester,England,R88084
Hampshire,England,R2698314
Herefordshire,England,R3548318
Hertfordshire,England,R57032
Isle of Wight,England,R3336389
Isles of Scilly,England,R158039
Kent,England,R88071
Lancashire,England,R118082
Leicestershire,England,R78309
Lincolnshire,England,R1916530
Merseyside,England,R147564
Norfolk,England,R57397
North Yorkshire,England,R3123501
Northamptonshire,England,R63375
Northumberland,England,R88066
Nottinghamshire,England,R77268
Oxfordshire,England,R6103258
Rutland,England,R57398
Shropshire,England,R57511
Somerset,England,R3125930
South Yorkshire,England,R88078
Staffordshire,England,R57515
Suffolk,England,R28595
Surrey,England,R5700081
Tyne and Wear,England,R154376
Warwickshire,England,R57516
West Midlands,England,R57517
West Sussex,England,R3336390
West Yorkshire,England,R88079
Wiltshire,England,R2694420
Worcestershire,England,R57581
