"Local Area (2011 LSOA)","Name","Overall rank(2019)","Quintile","Income(2019)","Quintile","Employment(2019)","Quintile","Health(2019)","Quintile","Education(2019)","Quintile","Access to Services(2019)","Quintile","Housing(2019)","Quintile","Community Safety(2019)","Quintile","Physical Environment(2019)","Quintile",
"W01000001","W01000001 - Aberffraw & Rhosneigr 1","885","31%-50% most deprived","898","31%-50% most deprived","659","31%-50% most deprived","1213","50% least deprived","1057","50% least deprived","221","11%-20% most deprived","935","31%-50% most deprived","914","31%-50% most deprived","1859","50% least deprived",
"W01000002","W01000002 - Aberffraw & Rhosneigr 2","1324","50% least deprived","1045","50% least deprived","1272","50% least deprived","1307","50% least deprived","1591","50% least deprived","693","31%-50% most deprived","309","11%-20% most deprived","1613","50% least deprived","1894","50% least deprived",
"W01000003","W01000003 - Amlwch Port","550","21%-30% most deprived","414","21%-30% most deprived","420","21%-30% most deprived","676","31%-50% most deprived","615","31%-50% most deprived","767","31%-50% most deprived","766","31%-50% most deprived","667","31%-50% most deprived","1776","50% least deprived",
"W01000004","W01000004 - Amlwch Rural","1100","50% least deprived","1122","50% least deprived","1004","50% least deprived","1311","50% least deprived","787","31%-50% most deprived","265","11%-20% most deprived","1229","50% least deprived","1284","50% least deprived","1827","50% least deprived",
"W01000005","W01000005 - Beaumaris","1065","50% least deprived","917","31%-50% most deprived","1216","50% least deprived","1430","50% least deprived","336","11%-20% most deprived","1207","50% least deprived","786","31%-50% most deprived","796","31%-50% most deprived","1510","50% least deprived",
"W01000006","W01000006 - Bodffordd","1116","50% least deprived","1246","50% least deprived","1003","50% least deprived","1151","50% least deprived","1203","50% least deprived","251","11%-20% most deprived","571","21%-30% most deprived","1459","50% least deprived","1881","50% least deprived",
"W01000007","W01000007 - Bodorgan","1036","50% least deprived","1165","50% least deprived","1178","50% least deprived","1441","50% least deprived","1321","50% least deprived","211","11%-20% most deprived","136","10% most deprived","1332","50% least deprived","1633","50% least deprived",
"W01000008","W01000008 - Braint","1820","50% least deprived","1541","50% least deprived","1647","50% least deprived","1554","50% least deprived","1756","50% least deprived","1797","50% least deprived","1453","50% least deprived","1740","50% least deprived","1607","50% least deprived",
"W01000009","W01000009 - Bryngwran","819","31%-50% most deprived","808","31%-50% most deprived","768","31%-50% most deprived","992","50% least deprived","945","31%-50% most deprived","324","11%-20% most deprived","348","11%-20% most deprived","1341","50% least deprived","1616","50% least deprived",
"W01000010","W01000010 - Brynteg","1624","50% least deprived","1354","50% least deprived","1319","50% least deprived","1609","50% least deprived","1315","50% least deprived","1165","50% least deprived","1443","50% least deprived","1624","50% least deprived","1673","50% least deprived",
"W01000011","W01000011 - Cadnant (Isle of Anglesey)","1377","50% least deprived","1395","50% least deprived","1189","50% least deprived","1773","50% least deprived","1565","50% least deprived","1850","50% least deprived","265","11%-20% most deprived","87","10% most deprived","1710","50% least deprived",
"W01000012","W01000012 - Cefni","1494","50% least deprived","1280","50% least deprived","1231","50% least deprived","1031","50% least deprived","1521","50% least deprived","1540","50% least deprived","1801","50% least deprived","404","21%-30% most deprived","1846","50% least deprived",
"W01000013","W01000013 - Cwm Cadnant","1777","50% least deprived","1749","50% least deprived","1615","50% least deprived","1827","50% least deprived","1761","50% least deprived","750","31%-50% most deprived","1648","50% least deprived","1753","50% least deprived","1828","50% least deprived",
"W01000014","W01000014 - Cyngar","1194","50% least deprived","926","31%-50% most deprived","795","31%-50% most deprived","1027","50% least deprived","1364","50% least deprived","1172","50% least deprived","1554","50% least deprived","543","21%-30% most deprived","1726","50% least deprived",
"W01000015","W01000015 - Gwyngyll","1704","50% least deprived","1528","50% least deprived","1425","50% least deprived","1081","50% least deprived","1689","50% least deprived","1786","50% least deprived","1770","50% least deprived","1589","50% least deprived","1409","50% least deprived",
"W01000016","W01000016 - Holyhead Town","168","10% most deprived","103","10% most deprived","113","10% most deprived","357","11%-20% most deprived","339","11%-20% most deprived","1198","50% least deprived","406","21%-30% most deprived","40","10% most deprived","1201","50% least deprived",
"W01000017","W01000017 - Kingsland","486","21%-30% most deprived","302","11%-20% most deprived","554","21%-30% most deprived","670","31%-50% most deprived","314","11%-20% most deprived","928","31%-50% most deprived","1079","50% least deprived","369","11%-20% most deprived","1736","50% least deprived",
"W01000018","W01000018 - Llanbadrig","1145","50% least deprived","759","31%-50% most deprived","815","31%-50% most deprived","1159","50% least deprived","972","50% least deprived","1345","50% least deprived","1081","50% least deprived","1337","50% least deprived","1829","50% least deprived",
"W01000019","W01000019 - Llanbedrgoch","1233","50% least deprived","1264","50% least deprived","1055","50% least deprived","1216","50% least deprived","630","31%-50% most deprived","968","50% least deprived","1155","50% least deprived","1317","50% least deprived","989","50% least deprived",
"W01000020","W01000020 - Llanddyfnan","1424","50% least deprived","1578","50% least deprived","1479","50% least deprived","1597","50% least deprived","1633","50% least deprived","153","10% most deprived","718","31%-50% most deprived","1537","50% least deprived","1880","50% least deprived",
"W01000021","W01000021 - Llaneilian","1044","50% least deprived","1082","50% least deprived","988","50% least deprived","1163","50% least deprived","1300","50% least deprived","193","11%-20% most deprived","576","31%-50% most deprived","1690","50% least deprived","1591","50% least deprived",
"W01000022","W01000022 - Llanfaethlu","857","31%-50% most deprived","961","50% least deprived","1234","50% least deprived","1093","50% least deprived","932","31%-50% most deprived","109","10% most deprived","231","11%-20% most deprived","1349","50% least deprived","1619","50% least deprived",
"W01000023","W01000023 - Llanfair-yn-Neubwll 1","985","50% least deprived","877","31%-50% most deprived","1162","50% least deprived","685","31%-50% most deprived","810","31%-50% most deprived","379","11%-20% most deprived","1145","50% least deprived","1388","50% least deprived","1763","50% least deprived",
"W01000024","W01000024 - Llanfair-yn-Neubwll 2","1050","50% least deprived","989","50% least deprived","1224","50% least deprived","1264","50% least deprived","1012","50% least deprived","255","11%-20% most deprived","612","31%-50% most deprived","782","31%-50% most deprived","1857","50% least deprived",
"W01000025","W01000025 - Llanfihangel Ysgeifiog","1300","50% least deprived","1215","50% least deprived","1311","50% least deprived","1176","50% least deprived","1241","50% least deprived","401","21%-30% most deprived","999","50% least deprived","1095","50% least deprived","1519","50% least deprived",
"W01000026","W01000026 - Llangoed","946","31%-50% most deprived","976","50% least deprived","830","31%-50% most deprived","1133","50% least deprived","858","31%-50% most deprived","183","10% most deprived","1022","50% least deprived","1766","50% least deprived","1793","50% least deprived",
"W01000027","W01000027 - Llanidan","954","31%-50% most deprived","1079","50% least deprived","1152","50% least deprived","1102","50% least deprived","963","50% least deprived","248","11%-20% most deprived","194","11%-20% most deprived","1383","50% least deprived","1682","50% least deprived",
"W01000028","W01000028 - Llannerch-y-medd","727","31%-50% most deprived","858","31%-50% most deprived","940","31%-50% most deprived","1090","50% least deprived","865","31%-50% most deprived","90","10% most deprived","237","11%-20% most deprived","1593","50% least deprived","1318","50% least deprived",
"W01000029","W01000029 - London Road","366","11%-20% most deprived","246","11%-20% most deprived","210","11%-20% most deprived","450","21%-30% most deprived","525","21%-30% most deprived","1029","50% least deprived","900","31%-50% most deprived","378","11%-20% most deprived","1844","50% least deprived",
"W01000030","W01000030 - Maeshyfryd","353","11%-20% most deprived","247","11%-20% most deprived","287","11%-20% most deprived","347","11%-20% most deprived","377","11%-20% most deprived","778","31%-50% most deprived","1020","50% least deprived","553","21%-30% most deprived","1837","50% least deprived",
"W01000031","W01000031 - Mechell","864","31%-50% most deprived","878","31%-50% most deprived","842","31%-50% most deprived","1322","50% least deprived","1194","50% least deprived","131","10% most deprived","305","11%-20% most deprived","1683","50% least deprived","1700","50% least deprived",
"W01000032","W01000032 - Moelfre","1053","50% least deprived","879","31%-50% most deprived","875","31%-50% most deprived","1392","50% least deprived","917","31%-50% most deprived","330","11%-20% most deprived","1088","50% least deprived","1728","50% least deprived","1703","50% least deprived",
"W01000033","W01000033 - Morawelon","224","11%-20% most deprived","198","11%-20% most deprived","178","10% most deprived","263","11%-20% most deprived","338","11%-20% most deprived","387","21%-30% most deprived","1541","50% least deprived","116","10% most deprived","1899","50% least deprived",
